,tweet_id,media_type,retweet_count,favorite_count,user_followers
2080,670755717859713024,photo,114,448,7620504
2081,670733412878163972,photo,525,977,7620505
2082,670727704916926465,photo,370,839,7620505
2083,670717338665226240,photo,509,1230,7620505
2084,670704688707301377,photo,383,775,7620505
2085,670691627984359425,photo,250,598,7620505
2086,670679630144274432,photo,290,757,7620505
2087,670676092097810432,photo,44,252,7620505
2088,670668383499735048,photo,5185,10881,7620505
2089,670474236058800128,photo,783,1554,7620505
2090,670468609693655041,photo,87,356,7620505
2091,670465786746662913,photo,567,979,7620505
2092,670452855871037440,photo,213,557,7620505
2093,670449342516494336,photo,687,1209,7620505
2094,670444955656130560,photo,2032,6822,7620505
2095,670442337873600512,photo,203,650,7620505
2096,670435821946826752,photo,530,1065,7620505
2097,670434127938719744,photo,662,1428,7620505
2098,670433248821026816,photo,117,331,7620505
2099,670428280563085312,photo,650,1407,7620505
2100,670427002554466305,photo,167,525,7620505
2101,670421925039075328,photo,651,1330,7620505
2102,670420569653809152,photo,323,633,7620505
2103,670417414769758208,photo,325,578,7620505
2104,670411370698022913,photo,923,2056,7620505
2105,670408998013820928,photo,231,565,7620505
2106,670403879788544000,photo,161,441,7620505
2107,670385711116361728,photo,217,566,7620505
2108,670374371102445568,photo,277,755,7620506
2109,670361874861563904,photo,69,333,7620506
2110,670338931251150849,photo,114,432,7620506
2111,670319130621435904,photo,1257,3918,7620506
2112,670303360680108032,photo,139,432,7620506
2113,670290420111441920,photo,294,717,7620506
2114,670093938074779648,photo,345,1045,7620506
2115,670086499208155136,photo,261,710,7620506
2116,670079681849372674,photo,1275,2251,7620506
2117,670073503555706880,photo,811,1597,7620506
2118,670069087419133954,photo,250,639,7620506
2119,670061506722140161,photo,352,779,7620506
2120,670055038660800512,photo,340,681,7620506
2121,670046952931721218,photo,181,655,7620506
2122,670040295598354432,photo,115,769,7620506
2123,670037189829525505,photo,286,597,7620506
2124,670003130994700288,photo,96,338,7620506
2125,669993076832759809,photo,87,329,7620506
2126,669972011175813120,photo,167,453,7620506
2127,669970042633789440,photo,62,308,7620506
2128,669942763794931712,photo,170,515,7620506
2129,669926384437997569,photo,108,380,7620506
2130,669923323644657664,photo,59,239,7620506
2131,669753178989142016,photo,412,826,7619916
2132,669749430875258880,photo,67,272,7620506
2133,669684865554620416,no media,91,528,7620505
2134,669683899023405056,photo,114,395,7620505
2135,669682095984410625,photo,136,358,7620505
2136,669680153564442624,photo,296,676,7620505
2137,669661792646373376,photo,452,816,7620505
2138,669625907762618368,photo,1860,3582,7620505
2139,669603084620980224,photo,371,957,7620505
2140,669597912108789760,photo,154,517,7620505
2141,669583744538451968,photo,951,1513,7620505
2142,669573570759163904,photo,145,441,7620505
2143,669571471778410496,photo,1044,1613,7620505
2144,669567591774625800,photo,58,241,7620505
2145,669564461267722241,photo,128,393,7620505
2146,669393256313184256,photo,79,372,7619915
2147,669375718304980992,photo,751,1355,7620505
2148,669371483794317312,photo,186,504,7620505
2149,669367896104181761,photo,163,472,7620505
2150,669363888236994561,photo,235,634,7620505
2151,669359674819481600,photo,127,374,7620505
2152,669354382627049472,photo,1303,2749,7620505
2153,669353438988365824,photo,266,655,7620505
2154,669351434509529089,photo,192,448,7620505
2155,669328503091937280,photo,426,1025,7620505
2156,669327207240699904,photo,119,585,7620505
2157,669324657376567296,photo,213,503,7620505
2158,669216679721873412,photo,414,1203,7620505
